"vsg_id","earlysingle","latesingle","early_1","late_1"
"late_1_trinity.2",0,89386.468559,0,89747.334411
"late_1_trinity.3",0,90379.524859,0,90563.747058
"late_1_trinity.4",0,90289.492902,0,90449.714248
"late_1_trinity.5",0,93854.856046,0,93357.515655
"late_1_trinity.6",1e+06,89673.270541,725817.30063,80180.303568
"late_1_trinity.7",0,90611.146593,0,90781.799696
"late_1_trinity.8",0,182776.583018,0,181757.7318
"late_1_trinity.9",0,90259.11468,0,90487.665249
"late_1_trinity.12",0,93400.650989,0,93394.031908
"late_1_trinity.14",0,89368.867754,0,89009.786739
"earlysingle_trinity.1",0,0.024059,274182.69937,10270.366643
"latesingle_trinity.1",0,0,0,0.003026
